,RGIId
0,RGI60-11.00001
1,RGI60-11.00002
2,RGI60-11.00003
3,RGI60-11.00004
4,RGI60-11.00005
5,RGI60-11.00006
6,RGI60-11.00007
7,RGI60-11.00008
8,RGI60-11.00009
9,RGI60-11.00010
10,RGI60-11.00011
11,RGI60-11.00012
12,RGI60-11.00013
13,RGI60-11.00014
14,RGI60-11.00015
15,RGI60-11.00016
16,RGI60-11.00017
17,RGI60-11.00018
18,RGI60-11.00019
19,RGI60-11.00020
20,RGI60-11.00021
21,RGI60-11.00022
22,RGI60-11.00023
23,RGI60-11.00024
24,RGI60-11.00025
25,RGI60-11.00026
26,RGI60-11.00027
27,RGI60-11.00028
28,RGI60-11.00029
29,RGI60-11.00030
30,RGI60-11.00031
31,RGI60-11.00032
32,RGI60-11.00033
33,RGI60-11.00034
34,RGI60-11.00035
35,RGI60-11.00036
36,RGI60-11.00037
37,RGI60-11.00038
38,RGI60-11.00039
39,RGI60-11.00040
40,RGI60-11.00041
41,RGI60-11.00042
42,RGI60-11.00043
43,RGI60-11.00044
44,RGI60-11.00045
45,RGI60-11.00046
46,RGI60-11.00047
47,RGI60-11.00048
48,RGI60-11.00049
49,RGI60-11.00050
50,RGI60-11.00051
51,RGI60-11.00052
52,RGI60-11.00053
53,RGI60-11.00054
54,RGI60-11.00055
55,RGI60-11.00056
56,RGI60-11.00057
57,RGI60-11.00058
58,RGI60-11.00059
59,RGI60-11.00060
60,RGI60-11.00061
61,RGI60-11.00062
62,RGI60-11.00063
63,RGI60-11.00064
64,RGI60-11.00065
65,RGI60-11.00066
66,RGI60-11.00067
67,RGI60-11.00068
68,RGI60-11.00069
69,RGI60-11.00070
70,RGI60-11.00071
71,RGI60-11.00072
72,RGI60-11.00073
73,RGI60-11.00074
74,RGI60-11.00075
75,RGI60-11.00076
76,RGI60-11.00077
77,RGI60-11.00078
78,RGI60-11.00079
79,RGI60-11.00080
80,RGI60-11.00081
81,RGI60-11.00082
82,RGI60-11.00083
83,RGI60-11.00084
84,RGI60-11.00085
85,RGI60-11.00086
86,RGI60-11.00087
87,RGI60-11.00088
88,RGI60-11.00089
89,RGI60-11.00090
90,RGI60-11.00091
91,RGI60-11.00092
92,RGI60-11.00093
93,RGI60-11.00094
94,RGI60-11.00095
95,RGI60-11.00096
96,RGI60-11.00097
97,RGI60-11.00098
98,RGI60-11.00099
99,RGI60-11.00100
100,RGI60-11.00101
101,RGI60-11.00102
102,RGI60-11.00103
103,RGI60-11.00104
104,RGI60-11.00105
105,RGI60-11.00106
106,RGI60-11.00107
107,RGI60-11.00108
108,RGI60-11.00109
109,RGI60-11.00110
110,RGI60-11.00111
111,RGI60-11.00112
112,RGI60-11.00113
113,RGI60-11.00114
114,RGI60-11.00115
115,RGI60-11.00116
116,RGI60-11.00117
117,RGI60-11.00118
118,RGI60-11.00119
119,RGI60-11.00120
120,RGI60-11.00121
121,RGI60-11.00122
122,RGI60-11.00123
123,RGI60-11.00124
124,RGI60-11.00125
125,RGI60-11.00126
126,RGI60-11.00127
127,RGI60-11.00128
128,RGI60-11.00129
129,RGI60-11.00130
130,RGI60-11.00131
131,RGI60-11.00132
132,RGI60-11.00133
133,RGI60-11.00134
134,RGI60-11.00135
135,RGI60-11.00136
136,RGI60-11.00137
137,RGI60-11.00138
138,RGI60-11.00139
139,RGI60-11.00140
140,RGI60-11.00141
141,RGI60-11.00142
142,RGI60-11.00143
143,RGI60-11.00144
144,RGI60-11.00145
145,RGI60-11.00146
146,RGI60-11.00147
147,RGI60-11.00148
148,RGI60-11.00149
149,RGI60-11.00150
150,RGI60-11.00151
151,RGI60-11.00152
152,RGI60-11.00153
153,RGI60-11.00154
154,RGI60-11.00155
155,RGI60-11.00156
156,RGI60-11.00157
157,RGI60-11.00158
158,RGI60-11.00159
159,RGI60-11.00160
160,RGI60-11.00161
161,RGI60-11.00162
162,RGI60-11.00163
163,RGI60-11.00164
164,RGI60-11.00165
165,RGI60-11.00166
166,RGI60-11.00167
167,RGI60-11.00168
168,RGI60-11.00169
169,RGI60-11.00170
170,RGI60-11.00171
171,RGI60-11.00172
172,RGI60-11.00173
173,RGI60-11.00174
174,RGI60-11.00175
175,RGI60-11.00176
176,RGI60-11.00177
177,RGI60-11.00178
178,RGI60-11.00179
179,RGI60-11.00180
180,RGI60-11.00181
181,RGI60-11.00182
182,RGI60-11.00183
183,RGI60-11.00184
184,RGI60-11.00185
185,RGI60-11.00186
186,RGI60-11.00187
187,RGI60-11.00188
188,RGI60-11.00189
189,RGI60-11.00190
190,RGI60-11.00191
191,RGI60-11.00192
192,RGI60-11.00193
193,RGI60-11.00194
194,RGI60-11.00195
195,RGI60-11.00196
196,RGI60-11.00197
197,RGI60-11.00198
198,RGI60-11.00199
199,RGI60-11.00200
200,RGI60-11.00201
201,RGI60-11.00202
202,RGI60-11.00203
203,RGI60-11.00204
204,RGI60-11.00205
205,RGI60-11.00206
206,RGI60-11.00207
207,RGI60-11.00208
208,RGI60-11.00209
209,RGI60-11.00210
210,RGI60-11.00211
211,RGI60-11.00212
212,RGI60-11.00213
213,RGI60-11.00214
214,RGI60-11.00215
215,RGI60-11.00216
216,RGI60-11.00217
217,RGI60-11.00218
218,RGI60-11.00219
219,RGI60-11.00220
220,RGI60-11.00221
221,RGI60-11.00222
222,RGI60-11.00223
223,RGI60-11.00224
224,RGI60-11.00225
225,RGI60-11.00226
226,RGI60-11.00227
227,RGI60-11.00228
228,RGI60-11.00229
229,RGI60-11.00230
230,RGI60-11.00231
231,RGI60-11.00232
232,RGI60-11.00233
233,RGI60-11.00234
234,RGI60-11.00235
235,RGI60-11.00236
